"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"USC","Pac-12","Arizona","Pac-12","401524025","4015240251","1","false","1","25","75","15","0","1","23","77","13","31","1","29","3","-2","PUNT","true","0","0","0","0"
"Arizona","Pac-12","USC","Pac-12","401524025","4015240252","2","true","1","66","66","13","31","1","6","6","10","12","3","19","8","60","FG","false","0","0","3","0"
"USC","Pac-12","Arizona","Pac-12","401524025","4015240253","3","false","1","17","83","10","12","1","28","72","9","20","0","52","3","11","PUNT","true","0","3","0","3"
"Arizona","Pac-12","USC","Pac-12","401524025","4015240254","4","true","1","64","64","9","20","1","0","0","4","59","4","21","10","64","TD","false","3","0","10","0"
"USC","Pac-12","Arizona","Pac-12","401524025","4015240255","5","false","1","25","75","4","59","1","29","71","3","56","1","3","3","4","PUNT","true","0","10","0","10"
"Arizona","Pac-12","USC","Pac-12","401524025","4015240256","6","true","1","92","92","3","56","2","0","0","13","5","5","51","11","92","TD","false","10","0","17","0"
"USC","Pac-12","Arizona","Pac-12","401524025","4015240257","7","false","2","25","75","13","5","2","68","32","11","50","1","15","3","41","FUMBLE","true","0","17","0","17"
"Arizona","Pac-12","USC","Pac-12","401524025","4015240258","8","false","2","66","66","11","50","2","72","72","11","5","0","45","2","-6","INT","false","17","0","17","0"
"USC","Pac-12","Arizona","Pac-12","401524025","4015240259","9","true","2","88","12","11","5","2","100","0","9","43","1","22","2","12","TD","true","0","17","7","17"
"Arizona","Pac-12","USC","Pac-12","401524025","40152402510","10","false","2","75","75","9","43","2","54","54","6","12","3","31","6","21","PUNT","false","17","7","17","7"
"USC","Pac-12","Arizona","Pac-12","401524025","40152402511","11","false","2","11","89","6","12","2","10","90","4","48","1","24","3","-1","PUNT","true","7","17","7","17"
