Offense,Yards,Plays,Scoring,Drive Result,Elapsed Minutes,Elapsed Seconds
Clemson,9,3,False,PUNT,1,50
Wake Forest,27,5,False,PUNT,2,16
Clemson,1,2,False,FUMBLE,0,27
Wake Forest,7,4,False,DOWNS,1,33
Clemson,3,3,False,PUNT,0,51
Wake Forest,28,7,True,FG,3,15
Clemson,75,16,True,TD,7,7
Wake Forest,13,6,False,PUNT,2,43
Clemson,6,3,False,PUNT,1,15
Wake Forest,19,2,False,FUMBLE,0,42
Clemson,20,6,False,PUNT,2,34
Wake Forest,6,3,False,PUNT,1,7
Wake Forest,10,6,False,MISSED FG,1,57
Clemson,67,15,True,FG,7,45
Wake Forest,71,12,True,FG,4,55
Clemson,41,8,False,MISSED FG,2,54
Wake Forest,-2,3,False,PUNT,1,32
Clemson,9,3,False,PUNT,1,19
Wake Forest,4,3,False,PUNT,2,1
Clemson,61,8,True,TD,3,45
Wake Forest,75,11,True,TD,4,15
Clemson,31,5,False,END OF GAME,1,34
Florida State,75,13,True,TD,5,47
Virginia Tech,1,3,False,PUNT,1,31
Florida State,66,7,True,TD,2,58
Virginia Tech,5,3,False,PUNT,0,54
Florida State,45,7,True,TD,2,16
Virginia Tech,3,3,False,PUNT,1,24
Florida State,1,4,False,PUNT,1,31
Virginia Tech,76,8,True,FG,4,2
Florida State,-3,3,False,PUNT,1,56
Virginia Tech,70,16,True,TD,6,55
Florida State,-10,1,False,END OF HALF,0,0
Virginia Tech,0,0,True,TD,0,13
Florida State,75,2,True,TD,0,28
Virginia Tech,10,4,False,PUNT,2,20
Florida State,71,11,True,FG,5,36
Virginia Tech,18,5,False,PUNT,4,11
Florida State,15,5,False,PUNT,2,22
Virginia Tech,60,12,False,DOWNS,6,11
Florida State,85,1,True,TD,0,11
Virginia Tech,23,6,False,PUNT,2,31
Florida State,18,5,False,PUNT,3,20
Virginia Tech,57,3,False,FUMBLE,1,4
Florida State,-6,3,False,END OF GAME,1,33
Georgia Tech,1,3,False,PUNT,0,50
Miami,30,10,False,DOWNS,5,1
Georgia Tech,6,3,False,PUNT,1,52
Miami,33,7,False,PUNT,3,17
Georgia Tech,22,4,False,PUNT,2,30
Miami,20,5,False,PUNT,2,23
Georgia Tech,49,11,False,INT,6,11
Miami,44,10,False,INT,4,24
Georgia Tech,3,3,False,PUNT,2,3
Miami,65,12,True,FG,1,22
Miami,25,5,False,PUNT,2,54
Georgia Tech,-1,3,False,PUNT,1,25
Miami,50,8,True,TD,3,59
Georgia Tech,75,8,True,TD,3,18
Miami,0,2,False,INT,0,44
Georgia Tech,26,4,True,TD,1,26
Miami,53,5,False,INT,1,49
Georgia Tech,6,4,True,FG,2,3
Miami,75,5,True,TD,2,16
Georgia Tech,13,4,False,INT,1,33
Miami,-7,4,True,FG,1,59
Georgia Tech,-5,3,False,PUNT,0,51
Miami,52,10,False,FUMBLE,5,6
Georgia Tech,74,4,True,TD,0,25
Miami,7,1,False,FUMBLE,0,2
North Carolina,64,14,True,FG,4,9
Syracuse,16,6,False,PUNT,1,51
North Carolina,94,16,True,TD,7,27
Syracuse,6,3,False,PUNT,1,32
North Carolina,77,9,True,TD,2,25
Syracuse,30,7,False,PUNT,3,13
North Carolina,95,9,True,TD,3,13
Syracuse,4,5,False,PUNT,2,38
North Carolina,72,12,True,FG,3,25
Syracuse,-1,1,False,END OF HALF,0,7
Syracuse,75,9,True,TD,3,45
North Carolina,57,10,True,FG,4,29
Syracuse,27,7,False,PUNT,3,41
North Carolina,83,4,True,TD,1,24
Syracuse,5,3,False,INT,0,57
North Carolina,20,5,False,FUMBLE,0,53
Syracuse,0,4,False,PUNT,0,0
North Carolina,62,17,False,FG,8,9
Syracuse,62,17,True,PUNT,0,0
Syracuse,12,4,False,INT,1,59
North Carolina,-1,4,False,DOWNS,1,42
Marshall,17,4,False,PUNT,1,45
NC State,6,2,False,INT,0,34
Marshall,29,4,True,TD,1,27
NC State,43,7,True,TD,2,47
Marshall,13,6,False,PUNT,2,19
NC State,-5,3,False,PUNT,2,6
Marshall,3,4,False,DOWNS,0,45
NC State,0,2,True,INT TD,0,13
NC State,9,6,False,PUNT,2,52
Marshall,1,3,False,PUNT,0,50
NC State,55,6,True,TD,2,32
Marshall,7,3,False,FUMBLE,1,45
NC State,39,1,True,TD,0,7
Marshall,-12,4,False,PUNT,1,53
NC State,5,3,False,PUNT,1,22
Marshall,34,9,True,FG,3,56
NC State,4,3,False,PUNT,0,45
Marshall,66,5,True,TD,1,18
NC State,5,3,False,PUNT,0,24
Marshall,-1,1,False,END OF HALF,0,2
NC State,-2,2,False,INT,0,38
Marshall,3,6,False,DOWNS,1,52
NC State,58,6,True,TD,3,23
Marshall,75,5,True,TD,1,32
NC State,68,2,True,TD,0,43
Marshall,66,10,True,FG,5,19
NC State,45,5,True,FG,1,33
Marshall,8,4,False,FUMBLE,1,23
NC State,-8,3,False,PUNT,1,40
Marshall,6,3,False,PUNT,1,22
NC State,45,7,True,FG,3,16
Marshall,0,1,False,INT,0,12
NC State,9,2,True,TD,0,47
Marshall,76,16,True,TD,4,30
NC State,-4,4,False,PUNT,0,37
Marshall,8,4,False,DOWNS,0,23
NC State,-1,1,False,END OF GAME,0,28
Virginia,-3,3,False,PUNT,1,33
William & Mary,23,8,True,FG,3,20
Virginia,41,10,True,FG,4,15
William & Mary,48,8,True,FG,4,17
Virginia,35,5,False,FUMBLE,2,13
William & Mary,4,4,True,TD,2,18
Virginia,66,6,True,TD,2,33
William & Mary,9,3,False,PUNT,2,2
Virginia,45,8,True,FG,4,51
William & Mary,2,3,False,PUNT,1,3
Virginia,-11,3,False,PUNT,0,24
William & Mary,13,3,False,FUMBLE,0,16
Virginia,79,6,True,TD,0,48
William & Mary,0,1,False,END OF HALF,0,7
William & Mary,6,3,False,PUNT,1,50
Virginia,54,6,False,INT,2,18
William & Mary,70,14,False,DOWNS,7,8
Virginia,90,16,True,TD,7,33
William & Mary,55,13,False,DOWNS,6,26
Virginia,73,10,False,END OF GAME,4,45
Kansas State,3,3,False,PUNT,1,42
Oklahoma State,72,15,True,TD,5,24
Kansas State,10,3,False,INT,1,10
Oklahoma State,5,3,False,PUNT,1,23
Kansas State,3,3,False,PUNT,1,19
Oklahoma State,47,8,True,FG,3,58
Kansas State,92,7,True,TD,3,5
Oklahoma State,71,12,False,MISSED FG,6,3
Kansas State,16,5,False,PUNT,1,53
Oklahoma State,63,8,True,FG,3,8
Kansas State,0,3,True,INT TD,0,21
Kansas State,9,4,False,PUNT,0,33
Oklahoma State,-1,1,False,END OF HALF,0,1
Oklahoma State,31,8,True,FG,2,57
Kansas State,43,10,False,FUMBLE,3,38
Oklahoma State,54,6,True,FG,3,38
Kansas State,65,10,True,TD,4,30
Oklahoma State,5,3,False,PUNT,1,6
Kansas State,7,4,False,DOWNS,1,22
Oklahoma State,18,5,True,FG,1,18
Kansas State,75,8,True,TD,2,35
Oklahoma State,25,7,False,DOWNS,3,39
Kansas State,25,6,False,INT,1,53
Oklahoma State,3,3,False,PUNT,0,24
Kansas State,19,6,False,DOWNS,1,1
Oklahoma State,-6,3,False,END OF GAME,1,59
Texas Tech,75,11,True,TD,5,14
Baylor,33,7,False,DOWNS,3,31
Texas Tech,5,3,False,PUNT,1,32
Baylor,13,7,False,PUNT,3,36
Texas Tech,59,7,True,TD,3,1
Baylor,8,4,False,FUMBLE,0,29
Baylor,1,3,False,PUNT,0,58
Texas Tech,9,3,False,FUMBLE,0,43
Baylor,42,5,True,FG,1,53
Texas Tech,21,5,False,PUNT,2,10
Baylor,28,10,False,DOWNS,4,15
Texas Tech,21,6,False,DOWNS,1,21
Baylor,13,4,False,Uncategorized,0,29
Texas Tech,7,4,True,FG,1,8
Baylor,0,1,False,END OF HALF,0,3
Texas Tech,0,1,False,INT,0,8
Baylor,49,8,False,DOWNS,2,24
Baylor,56,10,False,DOWNS,5,26
Texas Tech,85,13,True,TD,6,24
Baylor,76,6,True,TD,2,4
Texas Tech,65,9,True,TD,4,19
Baylor,59,6,True,FG,2,40
Texas Tech,-8,3,False,PUNT,1,48
Baylor,7,4,False,DOWNS,0,46
Texas Tech,14,3,True,TD,0,23
Baylor,-6,3,False,PUNT,1,45
Texas Tech,-2,2,False,Uncategorized,1,53
TCU,33,7,False,INT,2,39
Iowa State,2,3,False,PUNT,1,23
TCU,63,8,False,INT,2,52
Iowa State,39,7,False,PUNT,3,37
TCU,19,5,False,DOWNS,1,49
Iowa State,49,5,True,TD,2,13
TCU,78,11,True,TD,4,47
Iowa State,34,10,False,MISSED FG,5,8
TCU,4,3,False,PUNT,1,54
Iowa State,23,5,False,PUNT,1,52
TCU,4,3,False,PUNT,0,50
Iowa State,3,4,True,FG,0,44
Iowa State,2,3,False,PUNT,1,2
TCU,9,4,False,PUNT,1,53
Iowa State,74,2,True,TD,0,35
TCU,-3,5,False,PUNT,2,24
Iowa State,38,11,True,TD,5,29
TCU,37,5,False,INT,1,58
Iowa State,72,8,True,FG,4,56
TCU,56,11,False,DOWNS,0,8
Iowa State,25,5,False,PUNT,2,55
TCU,35,5,False,INT,1,32
Iowa State,3,3,False,PUNT,1,7
TCU,43,6,True,TD,0,58
Iowa State,-4,2,False,END OF GAME,1,17
UCF,39,8,False,PUNT,4,15
Kansas,82,13,True,FG,7,3
UCF,4,3,False,PUNT,0,39
Kansas,69,9,True,TD,4,22
UCF,5,3,False,PUNT,0,59
Kansas,72,12,True,TD,6,13
UCF,17,4,True,PUNT RETURN TD,3,5
UCF,30,6,False,FUMBLE,1,57
Kansas,-8,3,False,PUNT,1,4
UCF,13,2,False,END OF HALF,0,25
Kansas,75,1,True,TD,0,12
UCF,75,4,True,TD,1,47
Kansas,75,10,True,TD,5,59
UCF,75,17,True,TD,8,7
Kansas,54,4,True,TD,2,2
UCF,75,5,True,TD,1,39
Kansas,31,6,False,MISSED FG,4,4
UCF,15,5,False,DOWNS,1,52
Kansas,35,7,True,TD,3,20
UCF,-2,4,False,END OF GAME,0,57
Texas,-2,2,False,INT,0,46
Oklahoma,22,5,True,TD,1,3
Texas,60,10,False,INT,3,10
Oklahoma,-3,3,True,PUNT TD,0,59
Oklahoma,17,5,False,PUNT,2,18
Texas,2,6,False,PUNT,2,56
Oklahoma,78,13,True,FG,4,34
Texas,85,9,True,TD,4,47
Oklahoma,75,10,True,TD,4,4
Texas,68,10,True,FG,3,30
Oklahoma,67,9,True,END OF HALF,1,53
Oklahoma,75,13,True,TD,4,39
Texas,19,6,False,FUMBLE,2,49
Oklahoma,2,3,False,PUNT,1,22
Texas,67,10,True,FG,4,17
Oklahoma,27,5,False,DOWNS,0,59
Texas,51,9,False,DOWNS,4,24
Oklahoma,72,10,False,MISSED FG,3,35
Texas,73,5,True,TD,1,45
Oklahoma,4,3,False,PUNT,1,21
Texas,58,11,True,FG,3,32
Oklahoma,75,5,True,TD,1,2
Texas,31,3,False,END OF GAME,0,15
Massachusetts,75,6,True,TD,3,4
Toledo,55,8,True,FG,3,22
Massachusetts,4,3,False,PUNT,1,21
Toledo,62,7,True,TD,3,36
Massachusetts,45,11,False,PUNT,6,26
Toledo,80,10,True,TD,3,24
